,rank,video,video_views,likes,dislikes,category,published
0,1,"20 Tennis shots if they were not filmed, NOBODY would believe them","3,471,237","19,023",859,,2017
1,2,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,"54,071,677","3,497,955","78,799",Music,2019
2,3,JoJo Siwa - Karma (Official Video),"34,206,747","293,563",,Music,2024
3,4,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"6,643,904,918","44,861,602",,Music,2015
4,5,伊賀の天然水強炭酸水「家族で、シュワシェア。」篇　15秒,"236,085,971",38,,,2021
5,6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,"76,834,495","804,353","21,195",Music,2019
6,7,David Kushner - Daylight (Official Music Video),"18,558,390","680,732",,Music,2023
7,8,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,"96,686","1,007",82,Entertainment,2018
8,9,Kulit Kamu Kulit Kering dan Sensitif? Pakai Aveeno Skin Relief Lotion!,"9,605,969",6,,,2023
9,10,Totti with a funny penalty,"8,353,318","5,613","1,082",Sports,2007
10,11,Babilala ที่ทั้งแม่และลูกชื่นชอบนั้นคืออะไร?,"8,718,326",46,,,2021
11,12,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)","7,396,199","320,910","6,485",Music,2020
12,13,Every Moment With You (너와의 모든 지금),"7,958,181","54,903",,Music,2024
13,14,Not a mechanical baby,"14,612,153","3,339",156,Entertainment,2011
14,15,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal","13,894,905","452,087",,Music,2023
15,16,pevecov popek poje na sexy back,"37,460,296","4,533","10,949",Comedy,2007
16,17,"Luck Ra, Nicki Nicole - DOCTOR","8,286,096","149,421",,Music,2024
17,18,Jay Wheeler - Te La Dedico / For You (Official Video),"13,764,098","111,497",,Music,2023
18,19,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)","6,953,838","116,350","2,059",Music,2021
19,20,Grandma Dottie's Prom Dress Surprise,"8,414,676","2,442",103,People & Blogs,2012
20,21,Rels B - LA LATINA (Videoclip Oficial),"5,851,411","155,543","3,504",Music,2019
21,22,Together We Can Make a Difference,"10,627,797",21,6,,2019
22,23,Get back on your feet with our top rated lawyers,"98,468,536","5,492",,,2022
23,24,Jim Carrey THE FUNNIEST video,"8,322,488","6,216","11,521",Comedy,2007
24,25,TEST γιανα δεις αν έχεις καλά ματιά,"699,382","8,436","1,756",People & Blogs,2017
