trip_id,subscriber_type,bike_id,bike_type,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
26599763,Pay-as-you-ride,21707,electric,2022-05-06 14:19:39 UTC,4051,10th/Red River,4051,10th/Red River,195
26742903,3-Day Weekender,17460,electric,2022-05-23 16:24:46 UTC,4051,10th/Red River,4051,10th/Red River,2
26599923,Pay-as-you-ride,19453,electric,2022-05-06 14:37:41 UTC,4051,10th/Red River,4051,10th/Red River,178
26701683,Local31,21772,electric,2022-05-17 22:50:29 UTC,4051,10th/Red River,4051,10th/Red River,4
26788653,Pay-as-you-ride,21740,electric,2022-05-29 19:41:40 UTC,4051,10th/Red River,4051,10th/Red River,31
26742937,3-Day Weekender,17460,electric,2022-05-23 16:28:34 UTC,4051,10th/Red River,4051,10th/Red River,35
26742936,3-Day Weekender,18726,electric,2022-05-23 16:28:33 UTC,4051,10th/Red River,4051,10th/Red River,35
26648461,Student Membership,22599,electric,2022-05-12 09:38:57 UTC,4051,10th/Red River,4051,10th/Red River,2
26599753,Pay-as-you-ride,21691,electric,2022-05-06 14:18:39 UTC,4051,10th/Red River,4051,10th/Red River,3
26124027,Local31,21419,electric,2022-03-06 21:51:17 UTC,4051,10th/Red River,4051,10th/Red River,52
26254020,Single Trip (Pay-as-you-ride),226,classic,2022-03-26 22:47:08 UTC,4051,10th/Red River,4051,10th/Red River,38
26254013,Single Trip (Pay-as-you-ride),1703,classic,2022-03-26 22:46:37 UTC,4051,10th/Red River,4051,10th/Red River,39
26124026,Pay-as-you-ride,21740,electric,2022-03-06 21:50:56 UTC,4051,10th/Red River,4051,10th/Red River,3
26163419,Pay-as-you-ride,19221,electric,2022-03-14 21:31:48 UTC,4051,10th/Red River,4051,10th/Red River,2
26168832,Explorer,21428,electric,2022-03-15 17:04:59 UTC,4051,10th/Red River,4051,10th/Red River,33
26124031,Pay-as-you-ride,21516,electric,2022-03-06 21:53:49 UTC,4051,10th/Red River,4051,10th/Red River,50
26253986,Single Trip (Pay-as-you-ride),019G,classic,2022-03-26 22:41:56 UTC,4051,10th/Red River,4051,10th/Red River,44
26363471,3-Day Weekender,19285,electric,2022-04-09 18:33:15 UTC,4051,10th/Red River,4051,10th/Red River,3
26423542,Student Membership,1641,classic,2022-04-16 19:42:03 UTC,4051,10th/Red River,4051,10th/Red River,29
26466475,Local365,12727,classic,2022-04-21 20:43:06 UTC,4051,10th/Red River,4051,10th/Red River,806
27313573,24 Hour Walk Up Pass,21454,electric,2022-07-27 19:02:38 UTC,4051,10th/Red River,4051,10th/Red River,48
27313577,24 Hour Walk Up Pass,21718,electric,2022-07-27 19:02:55 UTC,4051,10th/Red River,4051,10th/Red River,48
27127563,Local31,19935,electric,2022-07-08 05:33:41 UTC,4051,10th/Red River,4051,10th/Red River,42
27528286,Single Trip (Pay-as-you-ride),21422,electric,2022-08-20 14:03:38 UTC,4051,10th/Red River,4051,10th/Red River,102
27497723,Local365,21654,electric,2022-08-17 17:04:01 UTC,4051,10th/Red River,4051,10th/Red River,5
27561028,Local31,19221,electric,2022-08-23 11:44:05 UTC,4051,10th/Red River,4051,10th/Red River,26
27770713,Local31,18101,electric,2022-09-09 15:47:40 UTC,4051,10th/Red River,4051,10th/Red River,32
28005953,Local31,19280,electric,2022-09-28 18:55:34 UTC,4051,10th/Red River,4051,10th/Red River,26
27838885,Explorer,22461,electric,2022-09-15 12:52:31 UTC,4051,10th/Red River,4051,10th/Red River,129
28005975,Pay-as-you-ride,21703,electric,2022-09-28 18:57:06 UTC,4051,10th/Red River,4051,10th/Red River,24
28009922,Local31,19418,electric,2022-09-29 09:51:05 UTC,4051,10th/Red River,4051,10th/Red River,33
27838907,Explorer,19849,electric,2022-09-15 12:53:56 UTC,4051,10th/Red River,4051,10th/Red River,128
27695328,3-Day Weekender,22470,electric,2022-09-03 16:23:59 UTC,4051,10th/Red River,4051,10th/Red River,3
27875113,Student Membership,19418,electric,2022-09-17 22:44:57 UTC,4051,10th/Red River,4051,10th/Red River,600
28181257,Local31,829,classic,2022-10-13 14:42:31 UTC,4051,10th/Red River,4051,10th/Red River,13
28344994,Explorer,996,classic,2022-10-29 16:01:27 UTC,4051,10th/Red River,4051,10th/Red River,129
28344996,Explorer,21739,electric,2022-10-29 16:01:30 UTC,4051,10th/Red River,4051,10th/Red River,131
28574222,3-Day Weekender,21426,electric,2022-12-03 11:47:29 UTC,4051,10th/Red River,4051,10th/Red River,6
23706248,Explorer,19935,electric,2021-03-24 14:37:53 UTC,4051,10th/Red River,4051,10th/Red River,22
23636258,Pay-as-you-ride,220,classic,2021-03-14 10:06:40 UTC,4051,10th/Red River,4051,10th/Red River,23
23585266,24 Hour Walk Up Pass,1524,classic,2021-03-05 18:10:43 UTC,4051,10th/Red River,4051,10th/Red River,66
23638613,Single Trip (Pay-as-you-ride),1524,classic,2021-03-14 16:12:18 UTC,4051,10th/Red River,4051,10th/Red River,2
23858333,Single Trip (Pay-as-you-ride),341,classic,2021-04-12 14:31:34 UTC,4051,10th/Red River,4051,10th/Red River,106
23858341,Single Trip (Pay-as-you-ride),21826,electric,2021-04-12 14:32:50 UTC,4051,10th/Red River,4051,10th/Red River,104
23885305,Single Trip (Pay-as-you-ride),21454,electric,2021-04-17 03:21:04 UTC,4051,10th/Red River,4051,10th/Red River,20
23864737,Local31,21699,electric,2021-04-13 15:07:17 UTC,4051,10th/Red River,4051,10th/Red River,32
24145452,Local31,19706,electric,2021-05-22 18:24:19 UTC,4051,10th/Red River,4051,10th/Red River,2
24191969,24 Hour Walk Up Pass,19355,electric,2021-05-29 13:35:19 UTC,4051,10th/Red River,4051,10th/Red River,40
23987976,3-Day Weekender,21650,electric,2021-05-01 12:19:59 UTC,4051,10th/Red River,4051,10th/Red River,3
24191923,24 Hour Walk Up Pass,18329,electric,2021-05-29 13:32:41 UTC,4051,10th/Red River,4051,10th/Red River,44
24191914,24 Hour Walk Up Pass,19271,electric,2021-05-29 13:31:51 UTC,4051,10th/Red River,4051,10th/Red River,3
24409574,Local31,19517,electric,2021-06-24 12:52:50 UTC,4051,10th/Red River,4051,10th/Red River,11
24372012,24 Hour Walk Up Pass,18329,electric,2021-06-19 17:19:28 UTC,4051,10th/Red River,4051,10th/Red River,34
24421729,Single Trip (Pay-as-you-ride),1687,classic,2021-06-26 02:39:35 UTC,4051,10th/Red River,4051,10th/Red River,344
24259293,Pay-as-you-ride,16881,electric,2021-06-06 09:46:58 UTC,4051,10th/Red River,4051,10th/Red River,4
24372002,24 Hour Walk Up Pass,18101,electric,2021-06-19 17:18:22 UTC,4051,10th/Red River,4051,10th/Red River,34
24436579,Local31,19442,electric,2021-06-27 18:26:32 UTC,4051,10th/Red River,4051,10th/Red River,32
24421728,Single Trip (Pay-as-you-ride),123,classic,2021-06-26 02:39:29 UTC,4051,10th/Red River,4051,10th/Red River,344
24436590,Local31,19355,electric,2021-06-27 18:27:15 UTC,4051,10th/Red River,4051,10th/Red River,31
24421722,Single Trip (Pay-as-you-ride),19517,electric,2021-06-26 02:36:43 UTC,4051,10th/Red River,4051,10th/Red River,347
24259315,Pay-as-you-ride,21514,electric,2021-06-06 09:50:43 UTC,4051,10th/Red River,4051,10th/Red River,154
24320208,3-Day Weekender,19271,electric,2021-06-13 10:40:57 UTC,4051,10th/Red River,4051,10th/Red River,2
24483560,Local31,21465,electric,2021-07-03 19:05:08 UTC,4051,10th/Red River,4051,10th/Red River,18
24548685,Explorer,19583,electric,2021-07-11 11:25:59 UTC,4051,10th/Red River,4051,10th/Red River,2
24595273,Single Trip (Pay-as-you-ride),88,classic,2021-07-17 02:47:13 UTC,4051,10th/Red River,4051,10th/Red River,27
24595274,Single Trip (Pay-as-you-ride),547,classic,2021-07-17 02:47:24 UTC,4051,10th/Red River,4051,10th/Red River,28
24595276,Single Trip (Pay-as-you-ride),685,classic,2021-07-17 02:47:34 UTC,4051,10th/Red River,4051,10th/Red River,27
24595278,Single Trip (Pay-as-you-ride),993,classic,2021-07-17 02:47:47 UTC,4051,10th/Red River,4051,10th/Red River,28
24608914,Pay-as-you-ride,19432,electric,2021-07-18 12:40:48 UTC,4051,10th/Red River,4051,10th/Red River,47
24666266,Single Trip (Pay-as-you-ride),88,classic,2021-07-24 23:54:53 UTC,4051,10th/Red River,4051,10th/Red River,481
24496629,Single Trip (Pay-as-you-ride),996,classic,2021-07-04 23:03:48 UTC,4051,10th/Red River,4051,10th/Red River,76
24633666,Local31,19602,electric,2021-07-21 12:17:48 UTC,4051,10th/Red River,4051,10th/Red River,24
24496631,Single Trip (Pay-as-you-ride),878,classic,2021-07-04 23:03:59 UTC,4051,10th/Red River,4051,10th/Red River,76
24608905,Pay-as-you-ride,19163,electric,2021-07-18 12:40:08 UTC,4051,10th/Red River,4051,10th/Red River,47
