trip_id,subscriber_type,bike_id,bike_type,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
19309516,Single Trip,647,classic,2019-02-24 09:32:17.000000 UTC,4051,10th & Red River,4051,10th & Red River,12
19309511,Single Trip,12802,classic,2019-02-24 09:31:03.000000 UTC,4051,10th & Red River,4051,10th & Red River,8
19309522,Single Trip,046G,classic,2019-02-24 09:34:16.000000 UTC,4051,10th & Red River,4051,10th & Red River,11
19346245,Local30,263G,classic,2019-03-08 07:37:03.000000 UTC,4051,10th & Red River,4051,10th & Red River,50
19468664,24 Hour Walk Up Pass,2143,classic,2019-03-31 12:16:21.000000 UTC,4051,10th & Red River,4051,10th & Red River,267
19468668,24 Hour Walk Up Pass,1782,classic,2019-03-31 12:16:58.000000 UTC,4051,10th & Red River,4051,10th & Red River,268
19468669,24 Hour Walk Up Pass,174,classic,2019-03-31 12:17:26.000000 UTC,4051,10th & Red River,4051,10th & Red River,267
19390778,Single Trip Ride,874,classic,2019-03-17 10:49:45.000000 UTC,4051,10th & Red River,4051,10th & Red River,37
19378857,U.T. Student Membership,864,classic,2019-03-14 19:07:54.000000 UTC,4051,10th & Red River,4051,10th & Red River,25
19390779,Single Trip Ride,2286,classic,2019-03-17 10:49:46.000000 UTC,4051,10th & Red River,4051,10th & Red River,37
19468672,24 Hour Walk Up Pass,2286,classic,2019-03-31 12:18:04.000000 UTC,4051,10th & Red River,4051,10th & Red River,266
19378888,U.T. Student Membership,417,classic,2019-03-14 19:12:08.000000 UTC,4051,10th & Red River,4051,10th & Red River,20
19428059,Single Trip ,417,classic,2019-03-23 19:12:45.000000 UTC,4051,10th & Red River,4051,10th & Red River,77
19428065,Single Trip ,976,classic,2019-03-23 19:13:32.000000 UTC,4051,10th & Red River,4051,10th & Red River,75
19517619,24 Hour Walk Up Pass,930,classic,2019-04-08 12:11:47.000000 UTC,4051,10th & Red River,4051,10th & Red River,180
19517604,24 Hour Walk Up Pass,1834,classic,2019-04-08 12:10:11.000000 UTC,4051,10th & Red River,4051,10th & Red River,181
19517624,24 Hour Walk Up Pass,898,classic,2019-04-08 12:12:19.000000 UTC,4051,10th & Red River,4051,10th & Red River,178
19502418,Single Trip ,898,classic,2019-04-06 10:59:55.000000 UTC,4051,10th & Red River,4051,10th & Red River,7
19777744,Annual,309G,classic,2019-05-16 18:50:46.000000 UTC,4051,10th & Red River,4051,10th & Red River,36
19732380,Single Trip ,511,classic,2019-05-10 13:04:55.000000 UTC,4051,10th & Red River,4051,10th & Red River,133
19779149,Local365,309G,classic,2019-05-17 07:41:14.000000 UTC,4051,10th & Red River,4051,10th & Red River,52
18540292,Explorer,996,classic,2018-09-13 13:22:46.000000 UTC,4051,10th & Red River,4051,10th & Red River,140
18622431,Walk Up,545,classic,2018-09-21 14:40:43.000000 UTC,4051,10th & Red River,4051,10th & Red River,116
18622445,Walk Up,262,classic,2018-09-21 14:41:29.000000 UTC,4051,10th & Red River,4051,10th & Red River,115
18751398,24 Hour Walk Up Pass,397,classic,2018-10-06 11:42:32.000000 UTC,4051,10th & Red River,4051,10th & Red River,1720
18765255,U.T. Student Membership,897,classic,2018-10-08 07:00:30.000000 UTC,4051,10th & Red River,4051,10th & Red River,1026
18778410,Local365,2459,classic,2018-10-10 09:32:18.000000 UTC,4051,10th & Red River,4051,10th & Red River,9
18972187,24 Hour Walk Up Pass,272G,classic,2018-11-11 12:06:32.000000 UTC,4051,10th & Red River,4051,10th & Red River,4
19285122,HT Ram Membership,15029E,electric,2019-02-16 08:23:30.000000 UTC,4055,11th & Salina ,4051,10th & Red River,12
19289091,HT Ram Membership,15029E,electric,2019-02-17 12:06:25.000000 UTC,4055,11th & Salina ,4051,10th & Red River,11
19250610,HT Ram Membership,1835,classic,2019-02-04 14:13:43.000000 UTC,4055,11th & Salina ,4051,10th & Red River,13
19344480,U.T. Student Membership,655,classic,2019-03-07 15:24:02.000000 UTC,3291,11th & San Jacinto,4051,10th & Red River,2
